Response.ID,Duration,Gender,Age,Age.cohort,Regional.Code,Number.Inhabitants,Text.CarbonTaxPolicy,Perceived.CarbonTaxKnowledge,Knowledge.Test1,Knowledge.Test2,Knowledge.Test3,Knowledge.Test4,Knowledge.Test5,Knowledge.Test6,Experiment.Group,CT.Effectiveness,CT.Fairness,CT.Object,CT.PersonalCost,CT.LowIncomeEffect,CT.TrustInPoliticians,CT.Acceptability,CT.Objective,CT.Effectiveness_Rev1,CT.Effectiveness_Rev2,CT.Effectiveness_Rev3,CT.Effectiveness_Rev4,CT.Effectiveness_Rev5,CT.Fairness_Rev1,CT.Fairness_Rev2,CT.Fairness_Rev3,CT.Fairness_Rev4,CT.Fairness_Rev5,CT.PersonalCost_Rev1,CT.PersonalCost_Rev2,CT.PersonalCost_Rev3,CT.PersonalCost_Rev4,CT.PersonalCost_Rev5,CT.LowIncomeEffect_Rev1,CT.LowIncomeEffect_Rev2,CT.LowIncomeEffect_Rev3,CT.LowIncomeEffect_Rev4,CT.LowIncomeEffect_Rev5,CT.Acceptability_Rev1,CT.Acceptability_Rev2,CT.Acceptability_Rev3,CT.Acceptability_Rev4,CT.Acceptability_Rev5,Allocation_Climate,Allocation_LowIncome,Allocation_Universal,EffectivenessOrFairness,Text.CTFairness,NumberOfPeers,NumberOfPeersClimChange,ExpectedSpanishAcceptability,InfoSpanishAcceptability,AcceptabilityAfterInfo,HouseholdSize,MonthlyIncome,Education,ClimateConcern,PoliticalView,PoliticalParty,CarUse,DrivingTime
342686041,550,1,53,5,9,1,Es absolutamente necesario regular emisiones de CO2 para mitigar el cambio climatico,1,1,3,3,3,3,3,2,4,5,3,4,3,3,5,2,3,5,4,3,4,3,4,4,3,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,100,0,0,2,La justicia en relacion a intentar reducir las emisiones de CO2 esta muy por encima que eventuales gastos familiares,15,8,60,2,5,4,3,6,5,2,17,6,3
343095406,509,2,22,2,5,4,Me parece correcto,1,3,1,3,1,3,3,2,4,4,1,3,1,1,4,2,4,4,5,4,4,5,5,4,4,4,3,5,3,4,5,4,4,4,4,4,4,4,4,4,4,0,50,50,2,Establecer el orden y el correcto cumplimiento de los deberes,10,5,65,1,2,4,4,6,3,3,1,6,3
342895637,342,2,38,4,3,4,No se van a cumplir,1,3,3,3,3,3,3,2,2,3,1,3,2,1,3,1,1,5,5,5,3,1,5,3,4,3,1,5,3,3,3,5,3,4,4,4,4,2,3,3,2,100,0,0,1,Deberia emplearse en politicas ambientales,7,0,30,2,4,4,5,6,5,9,5,2,1
343082599,1005,2,29,3,10,4,"pues que no paramos de pagar impuestos, esto es un saca dineros",1,3,3,3,3,2,2,2,4,1,3,2,1,1,1,1,4,4,4,4,4,3,4,4,4,4,2,4,2,3,2,2,2,2,2,2,3,3,3,3,3,40,20,40,3,nada,50,3,30,1,4,3,7,4,3,11,1,6,3
343085571,524,1,49,5,13,5,"demasiado rapido, demasiado ambicioso. no se cumplira",2,2,2,2,1,2,2,2,2,1,4,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,3,1,3,1,3,3,3,3,3,1,4,1,1,1,98,1,1,1,Es dar a cada uno lo suyo,10,2,10,2,3,4,4,6,1,9,5,4,1
342999134,301,2,24,2,7,3,No estoy de acuerdo,2,2,1,2,2,2,2,1,2,2,4,2,2,2,2,1,2,2,2,4,2,3,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,5,5,90,2,Dar lo que le corresponde a cada uno,100,2,0,2,2,4,1,2,3,2,17,6,6
342908531,453,1,35,4,1,5,Lo desconozco,1,3,3,3,3,3,3,1,3,3,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,33,33,34,3,No lo se realmente,100,10,0,1,3,2,7,5,3,5,17,6,6
343082835,1249,1,59,6,15,4,"Me parece bien. Siempre que se grave a los emisores con proporcionalidad a las emisiones generadas. Y se use lo recaudado para mejorar, prevenir o actuar ante el cambio climatico...",2,1,3,2,1,2,2,1,4,5,3,2,2,3,4,2,2,5,2,1,2,2,5,2,2,2,3,5,4,4,4,5,5,4,4,3,2,5,3,2,3,100,0,0,2,Repartir equitativamente los ingresos generados por los impuestos. El dedicar estos ingresos a proyectos para mejorar o impedir que empeore el cambio climatico beneficia a todos.,50,8,40,2,4,1,4,5,3,6,11,6,2
343087196,2605,2,43,4,1,5,Pienso que en lugar de penalizar el consumo de combustibles contaminantes se deberia de facilitar el acceso a otras formas que lo sean menos. Se estan haciendo esfuerzos en la direccion equivocada,2,1,3,2,1,2,2,2,3,4,1,4,2,2,4,2,2,4,5,2,2,1,2,5,2,2,4,4,5,4,4,4,4,5,4,4,4,4,5,2,2,50,50,0,3,justicia es que los que se han visto perjudicados y tienen menos recursos lo tengan mas facil para acceder a cambios significativos,10,5,40,2,4,4,3,6,5,2,4,5,1
342972135,1033,1,51,5,9,1,Nadie hace nada de lo que se acuerda en estas conferencias.,1,1,1,3,3,2,2,2,3,3,4,3,3,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,20,2,Las Leyes las hacen los ricos. La justicia la aplican para que los ricos sigan siguiendo ricos o mas ricos.,100,15,25,2,4,3,4,4,4,2,6,6,3
